subscription_id,user_id,plan_id,start_date,end_date,amount,status,transaction_type
sub_1b24c4,usr_09821572,Trial_Basic,2024-01-03,2024-01-17,0.0,Trial,New_Business
sub_f8ee34,usr_9f5c506c,Trial_Pro,2024-10-11,2024-10-25,0.0,Trial,New_Business
sub_31cfb1,usr_9f5c506c,Basic_Annual,2024-10-26,,290.0,Active,New_Business
sub_73bfef,usr_4b6e40de,Trial_Basic,2024-04-19,2024-05-03,0.0,Trial,New_Business
sub_045e02,usr_9db7c73e,Trial_Basic,2024-04-25,2024-05-09,0.0,Trial,New_Business
sub_0b728a,usr_9db7c73e,Basic_Monthly,2024-05-10,2024-06-09,29.0,Active,New_Business
sub_fee8e9,usr_9db7c73e,Basic_Monthly,2024-06-10,,29.0,Active,Renewal
sub_00b58f,usr_251a9410,Trial_Basic,2024-09-14,2024-09-28,0.0,Trial,New_Business
sub_e63f87,usr_7cee8719,Trial_Pro,2024-07-20,2024-08-03,0.0,Trial,New_Business
sub_7b4e15,usr_78de6df6,Trial_Pro,2024-02-20,2024-03-05,0.0,Trial,New_Business
sub_297628,usr_78de6df6,Basic_Monthly,2024-03-06,2024-04-05,29.0,Active,New_Business
sub_cdb4f6,usr_78de6df6,Basic_Monthly,2024-04-06,,29.0,Active,Renewal
sub_d7ceda,usr_f4054775,Trial_Basic,2024-09-21,2024-10-05,0.0,Trial,New_Business
sub_53c5f4,usr_c71e365a,Trial_Pro,2024-05-15,2024-05-29,0.0,Trial,New_Business
sub_2fcbc0,usr_ad525241,Trial_Basic,2024-09-09,2024-09-23,0.0,Trial,New_Business
sub_9e7082,usr_ebb56b41,Trial_Basic,2024-06-13,2024-06-27,0.0,Trial,New_Business
sub_cef5ac,usr_eee02dce,Trial_Pro,2024-02-26,2024-03-11,0.0,Trial,New_Business
sub_2f09d4,usr_eee02dce,Basic_Monthly,2024-03-12,2024-04-11,29.0,Active,New_Business
sub_1fb2d0,usr_eee02dce,Basic_Monthly,2024-04-12,2024-04-12,0.0,Cancelled,Churn
sub_6e8d3e,usr_54817038,Trial_Pro,2024-10-06,2024-10-20,0.0,Trial,New_Business
sub_73425b,usr_e28676b4,Trial_Basic,2024-04-26,2024-05-10,0.0,Trial,New_Business
sub_012c32,usr_2327f60f,Trial_Pro,2024-09-11,2024-09-25,0.0,Trial,New_Business
sub_4ee866,usr_5f1ff3ce,Trial_Pro,2024-05-20,2024-06-03,0.0,Trial,New_Business
sub_f32d11,usr_68c85928,Trial_Pro,2024-03-01,2024-03-15,0.0,Trial,New_Business
sub_2f9b26,usr_bea0f081,Trial_Basic,2024-11-30,2024-12-14,0.0,Trial,New_Business
sub_4fc6de,usr_acda12ec,Trial_Basic,2024-10-10,2024-10-24,0.0,Trial,New_Business
sub_b43bd6,usr_acda12ec,Pro_Monthly,2024-10-25,2024-11-24,99.0,Active,New_Business
sub_5a5521,usr_acda12ec,Pro_Monthly,2024-11-25,2024-11-25,0.0,Cancelled,Churn
sub_6bce79,usr_da8e0c47,Trial_Basic,2024-08-28,2024-09-11,0.0,Trial,New_Business
sub_23e346,usr_16f7b3c9,Trial_Basic,2024-04-08,2024-04-22,0.0,Trial,New_Business
sub_2a3970,usr_e00acf97,Trial_Basic,2024-12-28,2025-01-11,0.0,Trial,New_Business
sub_4b6653,usr_a292e507,Trial_Pro,2024-06-17,2024-07-01,0.0,Trial,New_Business
sub_a22c3b,usr_0e0c1861,Trial_Basic,2024-02-03,2024-02-17,0.0,Trial,New_Business
sub_522ce5,usr_0e0c1861,Basic_Monthly,2024-02-18,2024-03-19,29.0,Active,New_Business
sub_aec86a,usr_0e0c1861,Basic_Monthly,2024-03-20,,29.0,Active,Renewal
sub_b8b7cd,usr_4b87b7f1,Trial_Basic,2024-01-12,2024-01-26,0.0,Trial,New_Business
sub_605350,usr_4b87b7f1,Pro_Monthly,2024-01-27,2024-02-26,99.0,Active,New_Business
sub_d68348,usr_4b87b7f1,Pro_Monthly,2024-02-27,2024-02-27,0.0,Cancelled,Churn
sub_c1ebc4,usr_6cefbcbb,Trial_Basic,2024-02-12,2024-02-26,0.0,Trial,New_Business
sub_223782,usr_c013d6af,Trial_Basic,2024-05-26,2024-06-09,0.0,Trial,New_Business
sub_72838f,usr_c013d6af,Pro_Annual,2024-06-10,,990.0,Active,New_Business
sub_cc4123,usr_f5388cd2,Trial_Pro,2024-09-26,2024-10-10,0.0,Trial,New_Business
sub_a6a32e,usr_6f64768c,Trial_Basic,2024-01-02,2024-01-16,0.0,Trial,New_Business
sub_c4baea,usr_91c7587e,Trial_Basic,2024-04-02,2024-04-16,0.0,Trial,New_Business
sub_d44a60,usr_8dc2d7b4,Trial_Basic,2024-01-01,2024-01-15,0.0,Trial,New_Business
sub_f4b0c1,usr_0ddfd11c,Trial_Pro,2024-11-25,2024-12-09,0.0,Trial,New_Business
sub_fc5d49,usr_0ddfd11c,Basic_Monthly,2024-12-10,,29.0,Active,New_Business
sub_589d23,usr_7c9a7e13,Trial_Basic,2024-09-11,2024-09-25,0.0,Trial,New_Business
sub_3da7d2,usr_e78be6ee,Trial_Pro,2024-05-23,2024-06-06,0.0,Trial,New_Business
sub_576714,usr_855a82f0,Trial_Basic,2024-09-16,2024-09-30,0.0,Trial,New_Business
sub_e4f7cd,usr_ed58ad26,Trial_Basic,2024-11-16,2024-11-30,0.0,Trial,New_Business
sub_bc609f,usr_5b676f82,Trial_Pro,2024-02-20,2024-03-05,0.0,Trial,New_Business
sub_a4a8e6,usr_c862d93f,Trial_Pro,2024-11-16,2024-11-30,0.0,Trial,New_Business
sub_baf8c1,usr_c862d93f,Basic_Monthly,2024-12-01,2024-12-31,29.0,Active,New_Business
sub_5bee7b,usr_c862d93f,Basic_Monthly,2025-01-01,,29.0,Active,Renewal
