user_id,company_id,signup_date,country,acquisition_channel,initial_plan,job_role
usr_09821572,cmp_955b2f,2024-01-03,DE,Organic,Trial_Basic,Member
usr_9f5c506c,cmp_873a53,2024-10-11,FR,Organic,Trial_Pro,Admin
usr_4b6e40de,cmp_e7c170,2024-04-19,FR,Direct,Trial_Basic,Viewer
usr_9db7c73e,cmp_d18c7f,2024-04-25,ES,Paid_Search,Trial_Basic,Member
usr_251a9410,cmp_5bb243,2024-09-14,ES,Email,Trial_Basic,Viewer
usr_7cee8719,cmp_c6010c,2024-07-20,IN,Direct,Trial_Pro,Member
usr_78de6df6,cmp_824f09,2024-02-20,DE,Organic,Trial_Pro,Member
usr_f4054775,cmp_717c03,2024-09-21,US,Organic,Trial_Basic,Member
usr_c71e365a,cmp_074d58,2024-05-15,US,Social,Trial_Pro,Admin
usr_ad525241,cmp_d639ff,2024-09-09,UK,Paid_Search,Trial_Basic,Admin
usr_ebb56b41,cmp_f0eea9,2024-06-13,ES,Referral,Trial_Basic,Admin
usr_eee02dce,cmp_0d4992,2024-02-26,ES,Email,Trial_Pro,Member
usr_54817038,cmp_b76002,2024-10-06,US,Referral,Trial_Pro,Admin
usr_e28676b4,cmp_9f4fbd,2024-04-26,DE,Email,Trial_Basic,Viewer
usr_26eec29f,cmp_781b65,2024-01-10,DE,Referral,Free,Member
usr_2327f60f,cmp_3f6441,2024-09-11,FR,Direct,Trial_Pro,Viewer
usr_5f1ff3ce,cmp_8abc2c,2024-05-20,IN,Referral,Trial_Pro,Viewer
usr_05ced1b1,cmp_dacb73,2024-03-27,FR,Referral,Free,Viewer
usr_68c85928,cmp_f5388d,2024-03-01,DE,Email,Trial_Pro,Member
usr_7fe529ba,cmp_cf5737,2024-06-06,US,Direct,Free,Member
usr_321fc495,cmp_2116d4,2024-04-02,FR,Direct,Free,Admin
usr_a6ac1684,cmp_b2c73b,2024-10-06,ES,Email,Free,Member
usr_bea0f081,cmp_89448d,2024-11-30,IN,Organic,Trial_Basic,Viewer
usr_acda12ec,cmp_ebb910,2024-10-10,DE,Paid_Search,Trial_Basic,Viewer
usr_da8e0c47,cmp_b6a01c,2024-08-28,IN,Paid_Search,Trial_Basic,Admin
usr_23185e69,cmp_fd6ac9,2024-07-26,IN,Organic,Free,Viewer
usr_16f7b3c9,cmp_1f30f9,2024-04-08,DE,Social,Trial_Basic,Viewer
usr_e00acf97,cmp_fdf2e2,2024-12-28,DE,Paid_Search,Trial_Basic,Member
usr_a292e507,cmp_a711ed,2024-06-17,IN,Paid_Search,Trial_Pro,Viewer
usr_0e0c1861,cmp_fd66e0,2024-02-03,UK,Referral,Trial_Basic,Admin
usr_4b87b7f1,cmp_22916f,2024-01-12,FR,Referral,Trial_Basic,Viewer
usr_96755da5,cmp_d2e0c7,2024-05-27,ES,Organic,Free,Viewer
usr_6cefbcbb,cmp_d4457f,2024-02-12,DE,Paid_Search,Trial_Basic,Admin
usr_c013d6af,cmp_3858d8,2024-05-26,ES,Referral,Trial_Basic,Viewer
usr_f5388cd2,cmp_255c6d,2024-09-26,IN,Email,Trial_Pro,Viewer
usr_6f64768c,cmp_275b7c,2024-01-02,IN,Referral,Trial_Basic,Member
usr_91c7587e,cmp_c06d2e,2024-04-02,UK,Email,Trial_Basic,Admin
usr_8dc2d7b4,cmp_8977c4,2024-01-01,ES,Direct,Trial_Basic,Admin
usr_0ddfd11c,cmp_cd5562,2024-11-25,UK,Email,Trial_Pro,Viewer
usr_7c9a7e13,cmp_289026,2024-09-11,ES,Social,Trial_Basic,Viewer
usr_298050bd,cmp_9f3aad,2024-07-04,FR,Email,Free,Admin
usr_e78be6ee,cmp_d8f2fe,2024-05-23,ES,Direct,Trial_Pro,Member
usr_855a82f0,cmp_9b3b84,2024-09-16,IN,Referral,Trial_Basic,Viewer
usr_ed58ad26,cmp_79a93f,2024-11-16,DE,Email,Trial_Basic,Admin
usr_5b676f82,cmp_da1d7b,2024-02-20,UK,Paid_Search,Trial_Pro,Member
