ticket_id,user_id,created_at,resolved_at,ticket_category,nps_score,nps_comment
tkt_3576,usr_ad525241,2024-09-18T00:00:00Z,2024-09-21T22:00:00Z,technical,9.0,
tkt_f2e5,usr_23185e69,2024-09-11T00:00:00Z,2024-09-12T10:00:00Z,billing,8.0,
tkt_10dd,usr_4b87b7f1,2024-01-18T00:00:00Z,2024-01-22T00:00:00Z,technical,2.0,
tkt_97f5,usr_6f64768c,2024-01-24T00:00:00Z,2024-01-25T05:00:00Z,billing,4.0,
tkt_5b80,usr_91c7587e,2024-05-24T00:00:00Z,2024-05-24T16:00:00Z,feature_req,8.0,
tkt_67b4,usr_df775eeb,2024-04-16T00:00:00Z,2024-04-17T21:00:00Z,access,8.0,
tkt_c73d,usr_93fbc3f8,2024-05-07T00:00:00Z,2024-05-09T14:00:00Z,billing,10.0,Sample comment
tkt_13e2,usr_65e69172,2024-03-19T00:00:00Z,2024-03-22T23:00:00Z,technical,9.0,Sample comment
tkt_6098,usr_02d06dc3,2024-04-28T00:00:00Z,2024-04-28T02:00:00Z,technical,8.0,
tkt_75ab,usr_1a71e133,2024-06-07T00:00:00Z,2024-06-08T07:00:00Z,technical,7.0,Sample comment
tkt_5b03,usr_d9036cb1,2024-06-09T00:00:00Z,2024-06-09T04:00:00Z,billing,5.0,Sample comment
tkt_80e4,usr_45c4d247,2024-07-22T00:00:00Z,2024-07-24T00:00:00Z,feature_req,10.0,
tkt_9abf,usr_639f39ed,2024-11-06T00:00:00Z,2024-11-10T03:00:00Z,billing,7.0,
tkt_20e9,usr_d3e56cd1,2024-12-10T00:00:00Z,2024-12-14T03:00:00Z,billing,7.0,
tkt_31e7,usr_ab8c013f,2024-11-24T00:00:00Z,2024-11-26T21:00:00Z,billing,9.0,Sample comment
tkt_2625,usr_93db8b30,2024-05-20T00:00:00Z,2024-05-23T19:00:00Z,feature_req,8.0,Sample comment
tkt_7afb,usr_5ec0e0a1,2024-05-08T00:00:00Z,2024-05-09T03:00:00Z,access,8.0,
tkt_ec52,usr_e01d3f75,2024-08-13T00:00:00Z,2024-08-15T00:00:00Z,technical,9.0,
tkt_acce,usr_0f58cf5d,2024-10-28T00:00:00Z,2024-10-31T09:00:00Z,technical,9.0,
tkt_08e8,usr_83c40a5d,2024-02-21T00:00:00Z,2024-02-22T06:00:00Z,billing,10.0,
tkt_7151,usr_89d43931,2024-08-14T00:00:00Z,2024-08-16T03:00:00Z,technical,8.0,
tkt_5853,usr_35b99d42,2024-09-10T00:00:00Z,2024-09-12T16:00:00Z,feature_req,8.0,Sample comment
tkt_ab03,usr_0819b87d,2024-08-28T00:00:00Z,2024-08-30T04:00:00Z,billing,9.0,
tkt_2ca7,usr_2f30e82f,2024-12-20T00:00:00Z,2024-12-21T05:00:00Z,technical,9.0,
tkt_1eb4,usr_f85757b2,2024-12-10T00:00:00Z,2024-12-14T02:00:00Z,technical,6.0,
tkt_f60a,usr_b928471c,2024-02-23T00:00:00Z,2024-02-24T11:00:00Z,access,7.0,
