user_id,company_id,signup_date,country,acquisition_channel,initial_plan,job_role,email
usr_09821572,cmp_955b2f,2024-01-03,de,organic,trial_basic,member,usr_09821572
usr_9f5c506c,cmp_873a53,2024-10-11,fr,organic,trial_pro,admin,usr_9f5c506c
usr_4b6e40de,cmp_e7c170,2024-04-19,fr,direct,trial_basic,viewer,usr_4b6e40de
usr_9db7c73e,cmp_d18c7f,2024-04-25,es,paid_search,trial_basic,member,usr_9db7c73e
usr_251a9410,cmp_5bb243,2024-09-14,es,email,trial_basic,viewer,usr_251a9410
usr_7cee8719,cmp_c6010c,2024-07-20,in,direct,trial_pro,member,usr_7cee8719
usr_78de6df6,cmp_824f09,2024-02-20,de,organic,trial_pro,member,usr_78de6df6
usr_f4054775,cmp_717c03,2024-09-21,us,organic,trial_basic,member,usr_f4054775
usr_c71e365a,cmp_074d58,2024-05-15,us,social,trial_pro,admin,usr_c71e365a
usr_ad525241,cmp_d639ff,2024-09-09,uk,paid_search,trial_basic,admin,usr_ad525241
usr_ebb56b41,cmp_f0eea9,2024-06-13,es,referral,trial_basic,admin,usr_ebb56b41
usr_eee02dce,cmp_0d4992,2024-02-26,es,email,trial_pro,member,usr_eee02dce
usr_54817038,cmp_b76002,2024-10-06,us,referral,trial_pro,admin,usr_54817038
usr_e28676b4,cmp_9f4fbd,2024-04-26,de,email,trial_basic,viewer,usr_e28676b4
usr_26eec29f,cmp_781b65,2024-01-10,de,referral,free,member,usr_26eec29f
usr_2327f60f,cmp_3f6441,2024-09-11,fr,direct,trial_pro,viewer,usr_2327f60f
usr_5f1ff3ce,cmp_8abc2c,2024-05-20,in,referral,trial_pro,viewer,usr_5f1ff3ce
usr_05ced1b1,cmp_dacb73,2024-03-27,fr,referral,free,viewer,usr_05ced1b1
usr_68c85928,cmp_f5388d,2024-03-01,de,email,trial_pro,member,usr_68c85928
usr_7fe529ba,cmp_cf5737,2024-06-06,us,direct,free,member,usr_7fe529ba
usr_321fc495,cmp_2116d4,2024-04-02,fr,direct,free,admin,usr_321fc495
usr_a6ac1684,cmp_b2c73b,2024-10-06,es,email,free,member,usr_a6ac1684
usr_bea0f081,cmp_89448d,2024-11-30,in,organic,trial_basic,viewer,usr_bea0f081
usr_acda12ec,cmp_ebb910,2024-10-10,de,paid_search,trial_basic,viewer,usr_acda12ec
usr_da8e0c47,cmp_b6a01c,2024-08-28,in,paid_search,trial_basic,admin,usr_da8e0c47
usr_23185e69,cmp_fd6ac9,2024-07-26,in,organic,free,viewer,usr_23185e69
usr_16f7b3c9,cmp_1f30f9,2024-04-08,de,social,trial_basic,viewer,usr_16f7b3c9
usr_e00acf97,cmp_fdf2e2,2024-12-28,de,paid_search,trial_basic,member,usr_e00acf97
usr_a292e507,cmp_a711ed,2024-06-17,in,paid_search,trial_pro,viewer,usr_a292e507
usr_0e0c1861,cmp_fd66e0,2024-02-03,uk,referral,trial_basic,admin,usr_0e0c1861
usr_4b87b7f1,cmp_22916f,2024-01-12,fr,referral,trial_basic,viewer,usr_4b87b7f1
