user_id,churn_date,churn_flag
usr_eee02dce,2024-04-12,1
usr_acda12ec,2024-11-25,1
usr_4b87b7f1,2024-02-27,1
usr_d9036cb1,2024-06-29,1
usr_89c70caa,2024-06-23,1
usr_7bfad7c2,2024-11-08,1
usr_3b28d553,2024-02-18,1
usr_b70a4b79,2024-05-27,1
usr_3ad44a5c,2024-07-19,1
usr_bd53d196,2024-12-21,1
usr_552b2857,2024-04-02,1
usr_6221f027,2024-05-14,1
usr_c94b7789,2024-11-18,1
usr_7e658e93,2024-11-29,1
usr_40ba29b2,2024-09-08,1
usr_f3d4a581,2024-12-12,1
usr_e8d9d4c0,2024-12-14,1
usr_1cab8d1f,2024-11-12,1
usr_f92fa739,2024-10-09,1
usr_3299648e,2024-10-02,1
usr_e4c428cc,2024-05-22,1
usr_f37fd5f6,2024-04-28,1
usr_90590f58,2024-10-22,1
usr_7ddec92b,2024-04-22,1
usr_a0678282,2024-08-19,1
usr_ae2c745d,2024-02-28,1
usr_304cd44f,2024-07-30,1
usr_5750aeb7,2024-11-06,1
usr_a49f9b75,2024-11-20,1
usr_129298d9,2024-12-20,1
usr_5ff199ee,2024-10-24,1
usr_37e9a73d,2024-05-03,1
usr_81759665,2024-11-05,1
usr_3f02f120,2024-05-24,1
usr_66312159,2024-05-07,1
usr_efcc1992,2024-07-30,1
usr_0dff239b,2024-02-27,1
usr_19a1c038,2024-09-06,1
usr_e30f7c9d,2024-12-23,1
usr_27f43a4b,2024-09-10,1
usr_5b356080,2024-11-04,1
usr_84e4d7a1,2024-09-20,1
usr_5224965f,2024-11-25,1
usr_a901ec4f,2024-03-03,1
usr_decdf9d2,2024-06-02,1
usr_0deda197,2024-04-23,1
usr_80e8db89,2024-11-14,1
usr_d3afa139,2024-12-04,1
usr_9db17e77,2024-11-19,1
usr_b0821621,2024-02-17,1
usr_8ceb4025,2024-11-27,1
usr_8bdf10c8,2024-07-12,1
usr_8fc879ff,2024-12-10,1
usr_24f1c38a,2024-09-11,1
usr_764b1251,2024-10-18,1
usr_02624d7c,2024-06-08,1
usr_2f315127,2024-02-28,1
usr_7cf0dbbd,2024-12-21,1
usr_8d501481,2024-09-21,1
usr_9606f2c2,2024-03-02,1
usr_0ed7b364,2024-04-02,1
usr_d34e280b,2024-08-09,1
usr_a2ab28a8,2024-12-28,1
usr_7caadf7a,2024-05-10,1
usr_a77d3e98,2024-12-25,1
usr_4f5b1a33,2024-08-20,1
usr_89ab6698,2024-12-16,1
usr_862c8ced,2024-02-23,1
usr_d8af2c50,2024-11-07,1
usr_7cca6948,2024-08-06,1
usr_8fab67fa,2024-11-05,1
usr_92a8f46a,2024-10-03,1
usr_56758f84,2024-12-25,1
usr_24c27504,2024-12-10,1
usr_a4c247fd,2024-10-04,1
usr_1e526bea,2024-10-04,1
usr_d02084e1,2024-05-31,1
usr_dce242db,2024-03-03,1
usr_c7362df7,2024-04-04,1
usr_491eb7dd,2024-03-04,1
usr_2d745447,2024-08-24,1
usr_8f9b5a54,2024-11-30,1
usr_2ab8e84c,2024-11-12,1
usr_8ff54c9d,2024-11-09,1
usr_4110e702,2024-11-07,1
usr_6b536530,2024-07-22,1
usr_82b68f13,2024-11-15,1
usr_dd98d315,2024-12-01,1
usr_67daee2b,2024-09-04,1
usr_b42f327b,2024-10-31,1
usr_1b55ecfa,2024-05-01,1
usr_a4bbe849,2024-05-06,1
usr_247d05d4,2024-02-23,1
usr_07bdfe1e,2024-04-18,1
usr_8a09e6c8,2024-07-27,1
usr_f263fb1e,2024-06-15,1
usr_0bea3cd1,2024-02-20,1
usr_dffe83a6,2024-06-20,1
usr_d12fd4a9,2024-08-03,1
usr_c782a14b,2024-06-12,1
usr_2b5fe7d5,2024-02-19,1
usr_d19443bb,2024-10-28,1
usr_ea58e118,2024-04-23,1
usr_3f087e38,2024-03-09,1
usr_ae4c2aeb,2024-02-24,1
usr_ed4d57a3,2024-11-13,1
usr_4559601e,2024-12-07,1
usr_9cb0f4b8,2024-03-29,1
usr_4ef7cd3d,2024-12-22,1
usr_cf29c8b5,2024-07-03,1
usr_be3c9b77,2024-04-23,1
usr_34b7ed7a,2024-08-31,1
usr_797a3ee7,2024-04-10,1
usr_b3dc4282,2024-08-05,1
usr_88fb514d,2024-12-27,1
usr_30b12212,2024-07-26,1
usr_65dc4871,2024-08-01,1
usr_c5cf24fb,2024-03-14,1
usr_1fb65f28,2024-03-20,1
usr_5e5afeb2,2024-03-16,1
usr_4b1c4fba,2024-03-25,1
usr_66fdd616,2024-07-24,1
usr_8d4a0a74,2024-02-18,1
usr_3de47193,2024-10-29,1
usr_5db56ece,2024-10-13,1
usr_6f0614fd,2024-12-27,1
usr_09399b20,2024-02-17,1
usr_8e819361,2024-08-27,1
usr_73e04306,2024-03-07,1
usr_739a0bbe,2024-10-10,1
usr_01fd20fe,2024-07-15,1
usr_93ad3fb4,2024-09-28,1
usr_5233fa62,2024-05-07,1
usr_66cf4498,2024-12-20,1
usr_df7e574f,2024-05-31,1
usr_1c646244,2024-04-03,1
usr_6e9c1bd1,2024-09-07,1
usr_1dbbbfcf,2024-12-12,1
usr_53097176,2024-12-21,1
usr_513c481e,2024-06-24,1
usr_4f060167,2024-07-18,1
usr_a38c140b,2024-04-05,1
usr_7ededf34,2024-04-18,1
usr_f08547ee,2024-09-29,1
usr_c80f24ec,2024-07-23,1
usr_9b66505c,2024-11-04,1
usr_60efe9ff,2024-03-18,1
usr_6e6fa948,2024-05-14,1
usr_d6df1110,2024-04-14,1
usr_47a8f07b,2024-12-22,1
usr_34daee25,2024-12-02,1
usr_0f3f1b6d,2024-12-30,1
usr_e51f7eca,2024-05-06,1
usr_9de25ffc,2024-05-21,1
usr_40c6a1e6,2024-12-27,1
usr_639a22b5,2024-07-08,1
usr_6c34795a,2024-07-26,1
usr_d792b3d2,2024-11-20,1
usr_455a7a49,2024-10-20,1
usr_e40bfb63,2024-06-16,1
