month,MRR_total,MRR_start,new_MRR,expansion_MRR,contraction_MRR,churned_MRR,active_paid_users,ARPU,validation_diff
2024-01,15560.0,0.0,15560.0,0.0,-0.0,-0.0,93,167.31182795698925,0.0
2024-02,47515.0,15560.0,33218.0,0.0,-0.0,1263.0,238,199.64285714285714,0.0
2024-03,78911.0,47515.0,32164.0,0.0,-0.0,768.0,387,203.90439276485787,0.0
2024-04,106866.0,78911.0,29177.0,0.0,-0.0,1222.0,531,201.25423728813558,0.0
2024-05,130289.0,106866.0,24459.0,0.0,-0.0,1036.0,632,206.15348101265823,0.0
2024-06,151826.0,130289.0,22107.0,0.0,-0.0,570.0,745,203.79328859060402,0.0
2024-07,170154.0,151826.0,19014.0,0.0,-0.0,686.0,829,205.25211097708083,0.0
2024-08,191993.0,170154.0,22450.0,0.0,-0.0,611.0,948,202.52426160337552,0.0
2024-09,216478.0,191993.0,25113.0,0.0,-0.0,628.0,1081,200.25716928769657,0.0
2024-10,248326.0,216478.0,32674.0,0.0,-0.0,826.0,1221,203.3791973791974,0.0
2024-11,282910.0,248326.0,36219.0,0.0,-0.0,1635.0,1366,207.10834553440702,0.0
2024-12,311809.0,282910.0,30085.0,0.0,-0.0,1186.0,1484,210.11388140161725,0.0
