customer_id,signup_date,is_activated,has_active_sub,last_seen,days_since_signup,days_since_last_seen,stage
C00001,2025-02-26,True,False,2025-03-08,289,279,Dormant
C00002,2025-05-01,True,False,2025-05-06,225,220,Dormant
C00003,2025-03-09,True,True,2025-03-11,278,276,Retained
C00004,2025-02-04,False,False,2025-02-04,311,311,Churned
C00005,2025-07-06,False,False,2025-07-06,159,159,Churned
C00006,2025-05-06,True,False,2025-05-14,220,212,Dormant
C00007,2024-12-28,True,False,2024-12-29,349,348,Dormant
C00008,2025-09-09,True,True,2025-09-15,94,88,Retained
C00009,2025-06-01,False,False,2025-06-01,194,194,Churned
C00010,2025-02-02,True,False,2025-02-05,313,310,Dormant
C00011,2025-04-24,True,True,2025-05-07,232,219,Retained
C00012,2025-06-25,False,True,2025-11-25,170,17,Retained
C00013,2025-11-06,False,False,2025-11-06,36,36,Churned
C00014,2025-10-09,False,False,2026-03-11,64,-89,Churned
C00015,2025-07-25,True,False,2025-08-04,140,130,Dormant
C00016,2025-07-23,True,False,2025-07-31,142,134,Dormant
C00017,2025-09-23,True,False,2025-10-02,80,71,Dormant
C00018,2025-09-26,False,False,2025-09-26,77,77,Churned
C00019,2025-04-26,False,True,2025-10-25,230,48,Retained
C00020,2025-12-04,False,True,2025-12-04,8,8,Retained
C00021,2025-05-10,False,False,2025-09-14,216,89,Churned
C00022,2024-12-27,True,False,2025-01-09,350,337,Dormant
C00023,2025-03-04,True,False,2025-03-10,283,277,Dormant
C00024,2025-01-08,False,True,2025-06-02,338,193,Retained
C00025,2025-10-07,True,False,2025-10-14,66,59,Dormant
C00026,2025-06-26,False,False,2025-06-26,169,169,Churned
C00027,2025-08-06,False,False,2025-08-06,128,128,Churned
C00028,2025-10-26,True,False,2025-10-30,47,43,Dormant
C00029,2025-11-21,True,False,2025-12-01,21,11,Engagement
C00030,2025-06-11,True,False,2025-08-27,184,107,Dormant
C00031,2024-12-13,False,False,2024-12-13,364,364,Churned
C00032,2025-02-13,True,True,2025-02-26,302,289,Retained
C00033,2025-06-18,True,True,2025-06-22,177,173,Retained
C00034,2025-06-08,True,False,2025-06-21,187,174,Dormant
C00035,2025-03-07,True,True,2025-03-21,280,266,Retained
C00036,2025-07-25,False,False,2025-07-25,140,140,Churned
C00037,2025-04-06,True,False,2025-04-18,250,238,Dormant
C00038,2025-01-01,True,False,2025-01-03,345,343,Dormant
C00039,2025-06-21,True,False,2025-07-05,174,160,Dormant
C00040,2025-05-18,True,True,2025-05-21,208,205,Retained
C00041,2025-01-19,True,False,2025-01-24,327,322,Dormant
C00042,2025-10-16,False,True,2026-04-17,57,-126,Retained
C00043,2025-08-01,True,False,2025-08-05,133,129,Dormant
C00044,2025-10-28,True,False,2026-02-11,45,-61,Engagement
C00045,2025-03-10,True,False,2025-03-23,277,264,Dormant
C00046,2025-02-16,True,False,2025-02-27,299,288,Dormant
C00047,2025-03-15,False,True,2025-03-15,272,272,Retained
C00048,2025-09-22,False,False,2025-09-22,81,81,Churned
C00049,2025-10-29,False,True,2026-02-02,44,-52,Retained
C00050,2025-01-14,False,True,2025-01-14,332,332,Retained
C00051,2024-12-30,True,True,2025-02-10,347,305,Retained
C00052,2025-01-06,False,False,2025-01-06,340,340,Churned
C00053,2024-12-21,True,False,2024-12-23,356,354,Dormant
C00054,2025-03-18,True,False,2025-03-30,269,257,Dormant
C00055,2025-01-24,False,True,2025-01-24,322,322,Retained
C00056,2025-07-07,True,False,2025-12-03,158,9,Engagement
C00057,2025-03-03,False,True,2025-03-03,284,284,Retained
C00058,2025-05-25,False,False,2025-05-25,201,201,Churned
C00059,2025-09-15,False,False,2025-09-15,88,88,Churned
C00060,2025-03-11,True,False,2025-05-16,276,210,Dormant
C00061,2025-10-12,True,False,2025-10-13,61,60,Dormant
C00062,2025-02-09,True,False,2025-04-21,306,235,Dormant
C00063,2025-08-27,False,True,2025-08-27,107,107,Retained
C00064,2024-12-21,False,False,2024-12-21,356,356,Churned
C00065,2025-10-11,True,False,2025-10-21,62,52,Dormant
C00066,2025-05-31,True,False,2025-06-03,195,192,Dormant
C00067,2025-02-03,True,False,2025-02-17,312,298,Dormant
C00068,2025-06-04,True,False,2025-06-14,191,181,Dormant
C00069,2025-07-28,False,False,2025-07-28,137,137,Churned
C00070,2025-04-09,True,True,2025-04-21,247,235,Retained
C00071,2025-12-01,False,True,2026-06-16,11,-186,Retained
C00072,2025-08-24,True,True,2025-09-03,110,100,Retained
C00073,2025-03-07,True,False,2025-03-18,280,269,Dormant
C00074,2024-12-25,False,False,2024-12-25,352,352,Churned
C00075,2025-12-06,False,False,2025-12-06,6,6,Acquisition
