customer_id,signup_date,is_activated,has_active_sub,last_seen,days_since_signup,days_since_last_seen,stage,lifecycle_segment,amount,revenue_segment
C00001,2025-02-26,True,False,2025-03-08,289,279,Dormant,At-Risk,0.0,Free
C00002,2025-05-01,True,False,2025-05-06,225,220,Dormant,At-Risk,0.0,Free
C00003,2025-03-09,True,True,2025-03-11,278,276,Retained,Active,1194.0,High-Tier
C00004,2025-02-04,False,False,2025-02-04,311,311,Churned,Churned,0.0,Free
C00005,2025-07-06,False,False,2025-07-06,159,159,Churned,Churned,0.0,Free
C00006,2025-05-06,True,False,2025-05-14,220,212,Dormant,At-Risk,0.0,Free
C00007,2024-12-28,True,False,2024-12-29,349,348,Dormant,At-Risk,0.0,Free
C00008,2025-09-09,True,True,2025-09-15,94,88,Retained,Active,5994.0,High-Tier
C00009,2025-06-01,False,False,2025-06-01,194,194,Churned,Churned,0.0,Free
C00010,2025-02-02,True,False,2025-02-05,313,310,Dormant,At-Risk,0.0,Free
C00011,2025-04-24,True,True,2025-05-07,232,219,Retained,Active,5994.0,High-Tier
C00012,2025-06-25,False,True,2025-11-25,170,17,Retained,Active,2994.0,High-Tier
C00013,2025-11-06,False,False,2025-11-06,36,36,Churned,Churned,0.0,Free
C00014,2025-10-09,False,False,2026-03-11,64,-89,Churned,Churned,0.0,Free
C00015,2025-07-25,True,False,2025-08-04,140,130,Dormant,At-Risk,0.0,Free
C00016,2025-07-23,True,False,2025-07-31,142,134,Dormant,At-Risk,0.0,Free
C00017,2025-09-23,True,False,2025-10-02,80,71,Dormant,At-Risk,0.0,Free
C00018,2025-09-26,False,False,2025-09-26,77,77,Churned,Churned,0.0,Free
C00019,2025-04-26,False,True,2025-10-25,230,48,Retained,Active,1194.0,High-Tier
C00020,2025-12-04,False,True,2025-12-04,8,8,Retained,Active,5994.0,High-Tier
C00021,2025-05-10,False,False,2025-09-14,216,89,Churned,Churned,0.0,Free
C00022,2024-12-27,True,False,2025-01-09,350,337,Dormant,At-Risk,0.0,Free
C00023,2025-03-04,True,False,2025-03-10,283,277,Dormant,At-Risk,0.0,Free
C00024,2025-01-08,False,True,2025-06-02,338,193,Retained,Active,2994.0,High-Tier
C00025,2025-10-07,True,False,2025-10-14,66,59,Dormant,At-Risk,0.0,Free
C00026,2025-06-26,False,False,2025-06-26,169,169,Churned,Churned,0.0,Free
C00027,2025-08-06,False,False,2025-08-06,128,128,Churned,Churned,0.0,Free
C00028,2025-10-26,True,False,2025-10-30,47,43,Dormant,At-Risk,0.0,Free
C00029,2025-11-21,True,False,2025-12-01,21,11,Engagement,Active,0.0,Free
C00030,2025-06-11,True,False,2025-08-27,184,107,Dormant,At-Risk,0.0,Free
C00031,2024-12-13,False,False,2024-12-13,364,364,Churned,Churned,0.0,Free
C00032,2025-02-13,True,True,2025-02-26,302,289,Retained,Active,2994.0,High-Tier
C00033,2025-06-18,True,True,2025-06-22,177,173,Retained,Active,2994.0,High-Tier
C00034,2025-06-08,True,False,2025-06-21,187,174,Dormant,At-Risk,0.0,Free
C00035,2025-03-07,True,True,2025-03-21,280,266,Retained,Active,1194.0,High-Tier
C00036,2025-07-25,False,False,2025-07-25,140,140,Churned,Churned,0.0,Free
C00037,2025-04-06,True,False,2025-04-18,250,238,Dormant,At-Risk,0.0,Free
C00038,2025-01-01,True,False,2025-01-03,345,343,Dormant,At-Risk,0.0,Free
C00039,2025-06-21,True,False,2025-07-05,174,160,Dormant,At-Risk,0.0,Free
C00040,2025-05-18,True,True,2025-05-21,208,205,Retained,Active,2994.0,High-Tier
C00041,2025-01-19,True,False,2025-01-24,327,322,Dormant,At-Risk,0.0,Free
C00042,2025-10-16,False,True,2026-04-17,57,-126,Retained,Active,5994.0,High-Tier
C00043,2025-08-01,True,False,2025-08-05,133,129,Dormant,At-Risk,0.0,Free
C00044,2025-10-28,True,False,2026-02-11,45,-61,Engagement,Active,0.0,Free
C00045,2025-03-10,True,False,2025-03-23,277,264,Dormant,At-Risk,0.0,Free
C00046,2025-02-16,True,False,2025-02-27,299,288,Dormant,At-Risk,0.0,Free
C00047,2025-03-15,False,True,2025-03-15,272,272,Retained,Active,1194.0,High-Tier
C00048,2025-09-22,False,False,2025-09-22,81,81,Churned,Churned,0.0,Free
C00049,2025-10-29,False,True,2026-02-02,44,-52,Retained,Active,2994.0,High-Tier
C00050,2025-01-14,False,True,2025-01-14,332,332,Retained,Active,1194.0,High-Tier
C00051,2024-12-30,True,True,2025-02-10,347,305,Retained,Active,2994.0,High-Tier
C00052,2025-01-06,False,False,2025-01-06,340,340,Churned,Churned,0.0,Free
C00053,2024-12-21,True,False,2024-12-23,356,354,Dormant,At-Risk,0.0,Free
C00054,2025-03-18,True,False,2025-03-30,269,257,Dormant,At-Risk,0.0,Free
C00055,2025-01-24,False,True,2025-01-24,322,322,Retained,Active,2994.0,High-Tier
C00056,2025-07-07,True,False,2025-12-03,158,9,Engagement,Active,0.0,Free
