invoice_id,customer_id,amount,revenue_date,revenue_type
sub_1b24c4_inv_1,usr_09821572,0.0,2024-01-03,new
sub_f8ee34_inv_1,usr_9f5c506c,0.0,2024-10-11,new
sub_31cfb1_inv_1,usr_9f5c506c,290.0,2024-10-26,new
sub_31cfb1_inv_2,usr_9f5c506c,290.0,2024-11-26,recurring
sub_31cfb1_inv_3,usr_9f5c506c,290.0,2024-12-26,recurring
sub_31cfb1_inv_4,usr_9f5c506c,290.0,2025-01-26,recurring
sub_31cfb1_inv_5,usr_9f5c506c,290.0,2025-02-26,recurring
sub_31cfb1_inv_6,usr_9f5c506c,290.0,2025-03-26,recurring
sub_31cfb1_inv_7,usr_9f5c506c,290.0,2025-04-26,recurring
sub_31cfb1_inv_8,usr_9f5c506c,290.0,2025-05-26,recurring
sub_31cfb1_inv_9,usr_9f5c506c,290.0,2025-06-26,recurring
sub_31cfb1_inv_10,usr_9f5c506c,290.0,2025-07-26,recurring
sub_31cfb1_inv_11,usr_9f5c506c,290.0,2025-08-26,recurring
sub_31cfb1_inv_12,usr_9f5c506c,290.0,2025-09-26,recurring
sub_31cfb1_inv_13,usr_9f5c506c,290.0,2025-10-26,recurring
sub_31cfb1_inv_14,usr_9f5c506c,290.0,2025-11-26,recurring
sub_73bfef_inv_1,usr_4b6e40de,0.0,2024-04-19,new
sub_045e02_inv_1,usr_9db7c73e,0.0,2024-04-25,new
sub_0b728a_inv_1,usr_9db7c73e,29.0,2024-05-10,new
sub_fee8e9_inv_1,usr_9db7c73e,29.0,2024-06-10,new
sub_fee8e9_inv_2,usr_9db7c73e,29.0,2024-07-10,recurring
sub_fee8e9_inv_3,usr_9db7c73e,29.0,2024-08-10,recurring
sub_fee8e9_inv_4,usr_9db7c73e,29.0,2024-09-10,recurring
sub_fee8e9_inv_5,usr_9db7c73e,29.0,2024-10-10,recurring
sub_fee8e9_inv_6,usr_9db7c73e,29.0,2024-11-10,recurring
sub_fee8e9_inv_7,usr_9db7c73e,29.0,2024-12-10,recurring
sub_fee8e9_inv_8,usr_9db7c73e,29.0,2025-01-10,recurring
sub_fee8e9_inv_9,usr_9db7c73e,29.0,2025-02-10,recurring
sub_fee8e9_inv_10,usr_9db7c73e,29.0,2025-03-10,recurring
sub_fee8e9_inv_11,usr_9db7c73e,29.0,2025-04-10,recurring
sub_fee8e9_inv_12,usr_9db7c73e,29.0,2025-05-10,recurring
sub_fee8e9_inv_13,usr_9db7c73e,29.0,2025-06-10,recurring
sub_fee8e9_inv_14,usr_9db7c73e,29.0,2025-07-10,recurring
sub_fee8e9_inv_15,usr_9db7c73e,29.0,2025-08-10,recurring
sub_fee8e9_inv_16,usr_9db7c73e,29.0,2025-09-10,recurring
sub_fee8e9_inv_17,usr_9db7c73e,29.0,2025-10-10,recurring
sub_fee8e9_inv_18,usr_9db7c73e,29.0,2025-11-10,recurring
sub_fee8e9_inv_19,usr_9db7c73e,29.0,2025-12-10,recurring
sub_00b58f_inv_1,usr_251a9410,0.0,2024-09-14,new
sub_e63f87_inv_1,usr_7cee8719,0.0,2024-07-20,new
sub_7b4e15_inv_1,usr_78de6df6,0.0,2024-02-20,new
sub_297628_inv_1,usr_78de6df6,29.0,2024-03-06,new
sub_cdb4f6_inv_1,usr_78de6df6,29.0,2024-04-06,new
sub_cdb4f6_inv_2,usr_78de6df6,29.0,2024-05-06,recurring
sub_cdb4f6_inv_3,usr_78de6df6,29.0,2024-06-06,recurring
sub_cdb4f6_inv_4,usr_78de6df6,29.0,2024-07-06,recurring
sub_cdb4f6_inv_5,usr_78de6df6,29.0,2024-08-06,recurring
sub_cdb4f6_inv_6,usr_78de6df6,29.0,2024-09-06,recurring
sub_cdb4f6_inv_7,usr_78de6df6,29.0,2024-10-06,recurring
sub_cdb4f6_inv_8,usr_78de6df6,29.0,2024-11-06,recurring
sub_cdb4f6_inv_9,usr_78de6df6,29.0,2024-12-06,recurring
sub_cdb4f6_inv_10,usr_78de6df6,29.0,2025-01-06,recurring
sub_cdb4f6_inv_11,usr_78de6df6,29.0,2025-02-06,recurring
sub_cdb4f6_inv_12,usr_78de6df6,29.0,2025-03-06,recurring
sub_cdb4f6_inv_13,usr_78de6df6,29.0,2025-04-06,recurring
sub_cdb4f6_inv_14,usr_78de6df6,29.0,2025-05-06,recurring
sub_cdb4f6_inv_15,usr_78de6df6,29.0,2025-06-06,recurring
sub_cdb4f6_inv_16,usr_78de6df6,29.0,2025-07-06,recurring
sub_cdb4f6_inv_17,usr_78de6df6,29.0,2025-08-06,recurring
sub_cdb4f6_inv_18,usr_78de6df6,29.0,2025-09-06,recurring
sub_cdb4f6_inv_19,usr_78de6df6,29.0,2025-10-06,recurring
sub_cdb4f6_inv_20,usr_78de6df6,29.0,2025-11-06,recurring
sub_cdb4f6_inv_21,usr_78de6df6,29.0,2025-12-06,recurring
sub_d7ceda_inv_1,usr_f4054775,0.0,2024-09-21,new
sub_53c5f4_inv_1,usr_c71e365a,0.0,2024-05-15,new
sub_2fcbc0_inv_1,usr_ad525241,0.0,2024-09-09,new
sub_9e7082_inv_1,usr_ebb56b41,0.0,2024-06-13,new
sub_cef5ac_inv_1,usr_eee02dce,0.0,2024-02-26,new
sub_2f09d4_inv_1,usr_eee02dce,29.0,2024-03-12,new
sub_1fb2d0_inv_1,usr_eee02dce,0.0,2024-04-12,new
sub_6e8d3e_inv_1,usr_54817038,0.0,2024-10-06,new
sub_73425b_inv_1,usr_e28676b4,0.0,2024-04-26,new
sub_012c32_inv_1,usr_2327f60f,0.0,2024-09-11,new
sub_4ee866_inv_1,usr_5f1ff3ce,0.0,2024-05-20,new
sub_f32d11_inv_1,usr_68c85928,0.0,2024-03-01,new
sub_2f9b26_inv_1,usr_bea0f081,0.0,2024-11-30,new
sub_4fc6de_inv_1,usr_acda12ec,0.0,2024-10-10,new
sub_b43bd6_inv_1,usr_acda12ec,99.0,2024-10-25,new
sub_5a5521_inv_1,usr_acda12ec,0.0,2024-11-25,new
sub_6bce79_inv_1,usr_da8e0c47,0.0,2024-08-28,new
sub_23e346_inv_1,usr_16f7b3c9,0.0,2024-04-08,new
sub_2a3970_inv_1,usr_e00acf97,0.0,2024-12-28,new
sub_4b6653_inv_1,usr_a292e507,0.0,2024-06-17,new
sub_a22c3b_inv_1,usr_0e0c1861,0.0,2024-02-03,new
sub_522ce5_inv_1,usr_0e0c1861,29.0,2024-02-18,new
